w1,w2,w3,l1,l2,l3,ibias
26.0,39.5,35.0,0.5,1.0,1.5,1e-05
37.5,36.5,7.5,2.0,0.5,1.0,2e-05
17.5,4.0,27.0,2.0,1.0,1.5,1e-05
11.0,34.5,37.5,1.0,0.5,0.5,1e-05
42.0,40.0,31.5,2.0,1.0,1.0,1.5e-05
26.0,9.0,41.5,1.0,1.0,2.0,1.5e-05
12.0,25.5,18.0,1.5,2.0,1.5,2e-05
27.0,21.5,25.0,1.5,1.0,1.5,1.5e-05
44.5,29.5,17.5,2.0,1.5,1.0,1.5e-05
18.5,42.0,5.0,1.0,1.0,1.5,1e-05
10.5,27.5,22.0,2.0,0.5,1.0,1.5e-05
33.5,34.0,49.0,1.0,1.5,0.5,1e-05
2.0,11.0,14.0,1.0,1.0,1.0,2e-05
1.5,32.5,12.0,0.5,0.5,2.0,1.5e-05
10.5,30.0,7.5,1.0,0.5,1.0,1e-05
47.5,45.5,4.5,1.0,1.5,1.0,5e-06
22.5,2.5,10.5,1.0,1.5,0.5,1.5e-05
39.5,37.5,44.5,1.0,1.0,1.0,1e-05
4.5,49.0,40.5,0.5,1.0,1.5,5e-06
38.5,17.0,1.5,1.5,1.0,1.5,5e-06
8.0,38.0,9.0,1.0,1.0,2.0,1.5e-05
49.0,40.0,15.5,1.5,1.0,1.0,1.5e-05
18.0,23.5,22.5,1.0,0.5,1.0,1e-05
28.0,14.5,1.0,1.0,0.5,1.0,1.5e-05
4.5,23.0,41.5,1.5,2.0,2.0,1.5e-05
14.5,32.0,14.0,1.0,0.5,1.5,1e-05
3.5,43.5,3.0,1.5,0.5,1.5,5e-06
2.5,3.5,48.5,1.0,1.5,1.0,1e-05
16.5,10.5,14.0,1.5,1.0,1.5,2e-05
37.0,8.5,48.5,1.0,0.5,1.5,2e-05
30.0,44.0,42.5,1.0,1.5,0.5,2e-05
45.0,3.5,43.5,1.0,1.0,1.0,2e-05
39.0,45.0,27.0,0.5,1.5,1.0,1.5e-05
5.5,14.0,28.5,1.0,1.0,0.5,1e-05
49.0,24.5,42.5,2.0,0.5,2.0,1e-05
15.5,44.0,36.5,2.0,2.0,1.5,1.5e-05
9.5,14.5,32.0,1.5,2.0,1.0,5e-06
3.5,4.0,41.0,2.0,1.0,1.5,1e-05
9.0,46.0,40.5,1.5,1.0,2.0,1e-05
12.5,7.0,45.5,1.5,1.0,2.0,1e-05
11.5,20.5,2.0,1.5,1.0,1.5,1.5e-05
37.5,33.5,19.0,1.5,1.5,1.5,1.5e-05
1.5,3.5,17.5,1.5,2.0,1.5,1.5e-05
44.0,17.5,46.0,1.0,0.5,1.5,1e-05
36.0,4.0,49.0,1.0,1.5,1.5,2e-05
24.5,11.0,29.5,1.5,1.0,2.0,1e-05
26.5,14.0,18.5,2.0,1.5,1.5,1e-05
23.5,17.5,28.5,0.5,0.5,1.5,2e-05
0.5,46.5,11.5,1.5,1.5,1.0,1.5e-05
5.0,49.0,49.5,1.5,1.0,1.0,1.5e-05
32.0,3.0,9.0,2.0,1.0,1.0,1.5e-05
11.5,37.0,24.0,2.0,1.5,0.5,5e-06
22.5,30.5,20.5,2.0,1.0,0.5,5e-06
24.0,24.0,5.0,1.0,2.0,1.0,5e-06
27.0,18.5,8.0,1.5,1.0,2.0,2e-05
37.5,4.0,22.0,2.0,2.0,0.5,1e-05
40.0,20.5,31.5,0.5,1.0,1.0,1.5e-05
20.5,24.5,4.0,2.0,1.5,1.0,1e-05
32.0,28.0,14.0,1.0,1.0,1.5,5e-06
